posting_id,company_id,source,title,sector,body_len,skills,annual_from,annual_to,employment,education,location,keyword,flags,collected_at,judged_at,title_has_ai,verdict,actual_role,fit_score,reason,track,odds,appeal,caution,region,is_offtrack
cd74f8a1c1,company_2724659b,saramin,QA 매니저,"QA/테스터 , 소프트웨어개발 수정일 26/07/17",1962,,1,0,정규직,대졸,서울 영등포구,리포트 자동화,대졸요구|경력1년+요구,2026-07-17,2026-07-15,False,부적합,SaaS 기업 QA 매니저 — 소프트웨어 품질 검증 총괄,3,"QA 매니저는 4트랙 밖이고, 본문에 직무 상세도 없다. 대졸 4년제 + 경력 1년 이상 요구. 게시 시작일이 2025년 2월로 1년 넘게 열려 있는 상시 공고라 실제 충원 의지도 불확실하다.",트랙밖,대졸요구 + 경력1년+요구 + QA 트랙밖 — 통과·가치 모두 낮음,,QA 트랙밖 · 본문 실질 미확보 · 대졸요구 · 경력1년+요구 · 1년 이상 열려 있는 상시 공고,서울,True
e9dceb7398,company_e5d87fd3,saramin,[글로벌 AI Chat] 콘텐츠 마케터,"콘텐츠마케팅 , 광고마케팅 , 디지털마케팅 , 글로벌마케팅 , 소프트웨어개발 수정일 26/05/21",2064,,2,0,정규직,학력무관,서울 강남구,AI 콘텐츠,경력2년+요구,2026-07-17,2026-07-15,True,검토,글로벌 AI 챗 서비스 콘텐츠 마케팅 (상세 불명),5,"학력무관에 상시 채용이라 문은 열려 있고, AI 챗 서비스라 이용진님 CS봇 경험과 도메인 접점이 있다. 다만 외부 채널(Rivers) 연동 공고로 자격요건 본문이 전혀 없고 경력 2년+ 요구라 실체 판단이 어렵다.",AI 콘텐츠 Ops,학력무관은 유리하나 경력 2년+ 요구 · 지원서 열람 확인 불가(Rivers 공고)라 피드백 없이 묻힐 위험,다국어 CS봇(가드레일·평가셋) 구축 → AI 챗 서비스 도메인 직접 경험,"본문 미확보 · 경력 2년+ 요구 · 조회수 1,291로 경쟁 과다 · Rivers 공고라 지원 확인 불가.",서울,False
fa2dafc9ef,company_a84ea8f8,saramin,[NARA SPACE] 각 부문별 직원모집,"OA , 설계엔지니어 , 서류관리 , 경영지원 , 경영분석 외 수정일 26/06/25",3322,,0,0,정규직,초대졸,서울 영등포구,업무 자동화,대졸요구|AI개발성격,2026-07-16,2026-07-16,False,부적합,위성·항공우주 기업 부문별 채용(개발/연구 성격) — 학위·CS 게이트,2,"위성 개발 기업, 대졸 이상 부문별 채용에 AI개발성격 라벨. 항공우주 SW/연구직은 CS·학위 게이트라 이용진 관문과 다름.",트랙밖,대졸·전공 게이트 — 고졸·비전공 서류컷,,본문 미확보(모집부문별 상이).,서울,True
d06ed98e6d,company_bc1bac56,saramin,(주)테이칼튼 각 부문별 수시채용,"물류자동화 , 비즈니스마케팅 , 설계엔지니어 , 물류관리 , 재고관리 외 수정일 26/05/21",3109,,0,0,정규직,학력무관,서울 성동구,비즈니스 자동화,,2026-07-17,2026-07-15,False,부적합,직무 불명 — 직물제품 제조업체의 상시 열려 있는 부문 미상 수시채용,3,"본문에 부문·직무·자격요건이 전혀 없다. 업종은 '기타 직물제품 제조업'이고 근무지가 성수동·동두천·양주·청주 등으로 흩어져 있어 생산·현장 부문 비중이 높아 보인다. 조회수 117,740의 10개월째 상시 공고라 실제 채용 의지도 불투명하다. 트랙 적합 신호가 하나도 없다.",트랙밖,"학력무관이라 문턱 자체는 낮으나, 어떤 부문에 어떤 강점으로 지원할지가 성립하지 않음",,본문 미확보(부문·직무·자격요건 전무). 장기 상시 공고 = 상시 인력풀 수집 가능성,서울,True
a8e8e5eda6,company_10e04f1e,saramin,2026년 클라코리아 각 부문별 채용,"물류자동화 , 비즈니스마케팅 , 설계엔지니어 , 물류관리 , 재고관리 외 수정일 26/05/21",3084,,0,0,정규직,대졸,서울 성동구,비즈니스 자동화,대졸요구,2026-07-17,2026-07-15,False,부적합,직무 불명 — 제조업체의 부문 미상 상시 채용(실근무지 충북 청주 공단),3,본문에 부문·직무·자격요건이 없다. 업종이 제조업이고 실제 근무지위치가 '충북 청주 흥덕구 공단로'로 명시돼 생산·제조 중심 조직으로 보인다. 트랙 적합 신호 0.,트랙밖,대졸(4년제) 요구 + 직무 실체 불명 → 지원 근거가 성립하지 않음,,본문 미확보(부문·직무 전무). 대졸요구. 8개월째 상시 공고,서울,True
f64196b423,company_7fd0a331,saramin,홈케어 화장품 부문 대규모 채용 (신규 사업 확대로 인한 증원),"온라인MD , 상품관리 , 채널관리 , 자사몰관리 , 기획MD 외 수정일 26/06/25",2437,,0,0,정규직,초대졸,서울 금천구,이커머스 운영기획,대졸요구,2026-07-16,2026-07-16,False,부적합,화장품 부문 대규모 통합 채용 - 직무 불명(영업/생산/연구 혼재 추정),3,"초대졸 이상, 신입경력 통합 대규모 채용으로 본문에 직무 상세가 없다. 화장품 제조·연구개발업이라 데이터·자동화 직무일 가능성이 낮고, 어떤 부문인지 특정 불가.",트랙밖,"초대졸 요구가 고졸 서류컷 리스크, 직무 미상이라 매칭 판단 불가",,"직무 상세 미확보(대규모 통합), 초대졸요구 서류컷",서울,True
2fa3eb6fce,company_ccc0d198,saramin,2026년 각부문 신입 및 경력 채용,"유지보수 , AI(인공지능) , 기술지원 , 백엔드/서버개발 , 솔루션 외 수정일 26/07/09",2716,,0,0,정규직,대졸,서울 서초구,생성형 AI,대졸요구|개발자수준요구|AI개발성격,2026-07-20,2026-07-20,False,검토,AI 검색·NLP 솔루션 기업의 상시 전부문 공채 — 지원 부문에 따라 실체가 갈림,5,"국내 AI 검색·NLP 대표 기업이라 트랙1 접점은 분명하지만, 본문에 부문별 자격요건이 없는 상시 공채이고 학력 대졸(4년제) 이상이 명시돼 있다. 조회수 6만·홈페이지 지원 2만 건으로 경쟁이 극심해 고졸·비전공 신입이 서류를 뚫을 구조가 아니다.",AI 에이전트/LLM 앱,대졸(4년제) 명시 + 상시 대규모 공채 경쟁 — 서류 통과 확률 낮음. 지원하려면 홈페이지에서 부문별 요건을 확인해 AX·솔루션 쪽으로 타깃해야 한다.,LLM 앱을 평가셋·가드레일·CI까지 붙여 운영한 이력 — NLP 솔루션 기업의 품질 관리 요구와 접점.,대졸요구 · JD 부문별 미기재 · 지원자 수만 명 규모 경쟁.,서울,False
d4e535338d,company_9a4ed194,saramin,[Solution] AI Engineer Intern (체험형),"AI(인공지능) , AI(인공지능) , 딥러닝 , Pytorch , 소프트웨어개발 수정일 26/07/07",2098,,0,0,인턴,학력무관,서울 강남구,AI 솔루션,AI개발성격,2026-07-15,2026-07-15,True,부적합,"컴퓨터비전 딥러닝 모델 연구·개발 인턴 — AI 개발자, AX 아님",1,"'컴퓨터 비전 분야의 딥러닝 모델 연구 및 개발 경험', 'PyTorch 실무 활용 경험' 필수. 배제 대상(딥러닝 모델·AI 개발자)에 정면 해당. 학력무관이지만 'AI/ML 전공 학사 이상 또는 준하는 연구 경험' 요구.",트랙밖,딥러닝 연구 포트폴리오 필수 제출 — 승산 없음,,"AI 개발자 배제 대상, 6개월 체험형 인턴, 오늘 마감",서울,True
84fb090efc,company_dc4c7b55,saramin,2026년 파마리서치 신입/경력 수시채용,"AICPA , FA(공장자동화) , 자동화설계 , RA , KICPA 외 수정일 26/06/25",3319,,0,0,정규직,대졸,경기 성남시,AI 자동화,대졸요구|학위게이트,2026-07-20,2026-07-20,False,부적합,"제약·의약품 제조사 전사 수시채용 — 직무 실체 불명, AX 아님",2,대졸(4년제) 이상 하드 게이트가 걸린 제약사 공채이고 본문에 모집 직무·업무 내용이 전혀 없다. 자동화·데이터·LLM 신호 0. 학위 게이트 라벨까지 붙어 서류 단계에서 걸릴 확률이 높다.,트랙밖,대졸 4년제 필수 — 고졸 서류컷 확정적,,"대졸요구·학위게이트, 본문에 직무 상세 없음",경기,True
8a3c836396,company_ee84e3c9,saramin,[대상정보기술] 각 부문별 신입·경력 채용,"유지보수 , 웹개발 , 솔루션 , 사업개발 , 백엔드/서버개발 외 수정일 26/06/17",2993,,0,0,정규직,학력무관,서울 광진구,AI 솔루션 개발,개발자수준요구|AI개발성격,2026-07-17,2026-07-16,False,부적합,SI/SW 개발사 부문별 종합채용 — 개발 부문 중심 추정,4,"응용SW 개발·공급 SI사의 '각 부문별' 종합채용으로 개발 부문 중심일 가능성이 크다. 본문에 직무 상세가 없어 실체가 불명하며, 개발자수준·AI개발성격 라벨이 붙었다. 학력무관이나 보수적으로 부적합.",트랙밖,학력무관이나 직무 불명·개발 부문 중심 추정이라 매칭 불확실,,"직무 실체 불명확(각 부문별), 개발 성격, 본문 상세 미확보",서울,True
